0.43, -0.01, 0.12, 0.38, -0.57, -1.0, -1.01, 0.66;0.52, -0.2, 0.58, -0.01, -0.78, -0.88, -0.44, 0.16;0.43, -0.36, 0.46, 0.06, -0.78, -1.5, 0.07, 0.53;0.37, -0.45, 0.87, -0.49, -0.8, -0.88, 0.08, -0.05;22406447, 24590965, 49741460, -73434510, 11889225, 37136304, -29445660, -31364838;AMD;11.7,11.9,11.53,11.6,55758364
0.37, -0.41, -0.59, 0.57, 0.53, -1.06, -4.37, 1.84;0.06, -0.25, -0.66, 1.27, -0.14, -0.91, -2.14, -0.32;0.69, -0.92, -0.62, 0.22, 1.01, -3.28, -2.3, 2.52;-0.59, -0.94, -0.25, 1.61, -0.66, -3.35, 0.81, -0.55;254339, 608696, -26264, 13656, 324057, 607731, 141388, -1129852;AME;74.25,75.0,74.1,74.16,1569087
5.16, -0.03, -4.54, -6.64, -1.54, 3.36, -8.83, -1.74;4.43, -4.76, -4.2, -5.44, 5.77, -4.0, -8.32, 0.71;4.66, -5.1, -5.9, -2.32, 0.68, -8.39, -2.58, 3.96;1.99, -6.73, -5.22, -0.49, 1.45, -12.26, 1.9, 0.82;645452, -574881, 686882, -599641, 2952016, -107320, 604933, -1812020;AMGN;176.25,180.99,176.0,177.47,5715671
-5.16, 2.1, -4.41, -5.45, 1.47, -5.21, -12.65, 6.61;-4.16, -3.59, -5.41, -1.41, -1.91, -2.88, -6.47, 0.17;-7.57, -1.67, -4.53, -0.67, -1.4, -8.69, -5.59, 5.66;-6.55, -5.99, -3.59, 2.13, -4.65, -8.61, 2.2, -2.83;171528, 190723, 97994, -385418, -23945, 75894, 176072, -112280;AMG;188.61,191.35,186.67,187.87,590015
5.77, -3.55, -3.32, -4.06, 1.38, -4.22, -11.25, 4.81;1.06, -4.12, -3.08, -2.62, -0.12, -3.43, -5.78, 2.5;4.38, -5.24, -4.4, 0.78, -1.42, -6.97, -5.8, 4.97;-2.39, -5.44, -3.31, 2.38, -3.58, -7.11, 0.17, -0.45;-599595, 302883, 268173, -286336, -77087, 643910, 160890, -586939;AMP;159.33,164.34,159.0,160.11,1313224
1.76, -1.02, 1.53, 2.61, -1.58, -2.3, -3.86, -0.43;0.86, -0.33, 3.18, 0.52, -2.62, -0.45, -4.12, 0.16;0.84, -0.84, 2.4, 1.3, -2.31, -2.46, -4.14, 1.61;-0.8, 0.82, 2.55, -0.64, -1.84, -3.18, -1.87, -0.17;1793774, -1461707, 744683, -833661, 123514, 526326, 816162, -1571179;AMT;139.85,142.33,139.24,140.0,2245859
17.17, -6.01, 48.13, -6.3, 32.39, -74.77, -41.16, 87.54;28.86, 7.86, 33.33, -12.7, 38.12, -39.02, -14.99, 17.0;19.53, -8.44, 58.04, -64.9, 28.86, -93.28, 31.07, 63.36;15.63, 20.14, 13.07, -60.89, 39.95, -39.95, 52.84, -26.06;844588, 170044, 552751, 2689115, 2011914, 369263, -428166, -3904078;AMZN;1449.0,1460.99,1415.15,1416.78,7162741
-1.55, -4.01, -1.09, -0.6, -2.44, -3.66, -4.52, 5.39;-1.36, -4.11, -1.27, -0.6, -1.52, -2.92, -0.32, 1.87;-3.84, -1.7, -2.92, -0.46, -1.99, -5.0, -0.64, 3.26;-3.35, -1.89, -0.71, -1.35, -3.28, -4.24, 3.9, -2.57;827623, -570576, 1952728, -1402322, -70948, -212771, 757912, -410281;ANDV;102.87,105.21,100.51,100.62,2181191
2.57, 0.2, -1.41, -1.37, 1.32, -2.18, -7.27, 3.39;0.76, -0.69, 0.31, -0.81, -0.31, -1.76, -3.99, 0.3;2.06, -2.04, 0.7, -0.24, -0.6, -4.22, -4.21, 2.79;-1.21, -1.07, -0.03, 1.75, -3.11, -4.27, 1.08, -2.07;-134057, 369999, 139116, -190662, -261222, 238999, -29384, -145388;ANSS;156.23,157.95,154.58,155.03,444206
5.34, -12.88, 16.4, -12.79, -5.37, -3.94, -12.29, 8.06;0.51, -9.57, 18.48, -19.03, -5.08, -4.18, -3.31, 4.33;5.96, -16.59, 5.34, -2.91, -3.29, -10.81, -3.2, 8.1;-1.17, -13.58, 4.41, -3.92, -4.75, -8.73, 4.38, 3.61;762563, 2552041, -464557, -2061668, -621652, 636377, 330680, -34744;ANTM;233.88,240.68,232.71,238.44,2312331
